RefName, ReferralSince, LastClicked, TotalClicks
R365182643,20110613,20110716,24
R262893941,20110613,20110717,23
R815246538,20110614,20110706,14
R557412168,20110614,20110711,13
R846206764,20110614,20110716,28
R290770438,20110614,20110718,35
R383029389,20110614,20110718,20
R781561836,20110614,20110713,20
R427953607,20110614,20110714,27
R690153374,20110614,20110704,19
R653036659,20110614,20110710,30
R167129473,20110614,20110717,22
R390412826,20110615,20110708,20
R382045841,20110615,20110714,17
R80478313,20110615,20110718,14
R819017051,20110616,20110708,20
R605600074,20110616,20110718,14
R162270694,20110616,20110717,17
R824890634,20110616,20110706,9
R952781373,20110617,20110717,17
R132196162,20110617,20110718,34
R512679474,20110617,20110717,17
R717017435,20110617,20110713,22
R824527175,20110617,20110707,23
R914830135,20110617,20110717,23
R759657795,20110617,20110715,14
R688814755,20110617,20110715,24
R427817555,20110618,20110717,15
R148704960,20110619,20110715,19
R933496908,20110619,20110713,21
R403192277,20110619,20110717,16
R261180700,20110619,20110717,26
R355758969,20110620,20110714,26
R946585413,20110620,20110718,10
R681941667,20110620,20110714,18
R342595896,20110620,20110713,15
R977284932,20110620,20110707,18
R98288675,20110621,20110715,15
R569543574,20110621,20110718,15
R169637638,20110622,20110718,13
R954166739,20110622,20110718,23
R335657917,20110622,20110707,18
R703376693,20110622,20110712,18
R822533376,20110623,20110715,12
R626469754,20110624,20110717,15
R742803932,20110624,20110718,14
R555517890,20110625,20110716,18
R26758095,20110625,20110717,21
R52476939,20110625,20110715,14
R44615133,20110625,20110712,11
R73120067,20110625,20110706,7
R360061010,20110625,20110715,24
R858948618,20110625,20110710,17
R121931319,20110625,20110713,18
R941283909,20110626,20110712,7
R353850312,20110626,20110712,12
R674351698,20110626,20110715,15
R525368496,20110627,20110709,12
R433936548,20110627,20110706,10
R977116518,20110627,20110714,14
R826698926,20110627,20110715,8
R304119132,20110627,20110708,8
R128736859,20110627,20110717,14
R708331883,20110628,20110715,31
R775681007,20110628,20110712,11
R781060021,20110628,20110717,17
R499536511,20110629,20110718,15
R703952772,20110630,20110716,7
R468955426,20110630,20110706,10
R600421506,20110630,20110718,9
R433904920,20110630,20110716,11
R726812893,20110630,20110711,3
R224483093,20110630,20110714,14
R494534699,20110701,20110717,14
R695370782,20110701,20110717,3
R509373472,20110701,20110718,8
R787256402,20110702,20110714,10
R687004880,20110702,20110706,7
R133996324,20110702,20110706,7
R635054428,20110703,20110713,0
R706659044,20110703,20110714,21
R844366950,20110703,20110716,11
R143939294,20110703,20110711,15
R390562813,20110703,20110716,3
R948703829,20110704,20110711,7
R354976372,20110704,20110714,9
R160147658,20110704,20110714,10
R750508575,20110704,20110711,7
R645228996,20110704,20110716,18
R947970726,20110704,20110716,4
R394870314,20110704,20110715,17
R212755107,20110704,20110718,6
R220139254,20110704,20110718,19
R154285185,20110705,20110718,8
R454972907,20110705,20110712,3
R585533720,20110706,20110715,7
R559401188,20110706,20110718,7
R714026202,20110706,20110713,3
R532149717,20110706,20110714,3
R232622861,20110706,20110715,4
R94073703,20110706,20110712,7
R784606421,20110706,20110718,14
R123794826,20110706,20110712,0
R781246802,20110706,20110716,10
R292073893,20110707,20011231,0
R525232669,20110707,20110716,3
R527209926,20110707,20110717,6
R62567289,20110707,20110713,4
R450042925,20110707,20110718,10
R46151490,20110707,20110715,12
R315226932,20110707,20110718,8
R461289930,20110708,20110714,7
R40923473,20110708,20110716,4
R146803464,20110708,20110717,11
R639348126,20110709,20110718,4
R658485205,20110709,20110718,7
R718853787,20110709,20110711,3
R432033568,20110709,20110714,4
R65179207,20110709,20110718,9
R688271187,20110709,20110715,6
R604900803,20110709,20110716,3
R882788799,20110710,20110711,3
R233778558,20110710,20110715,3
R761957814,20110710,20110716,4
R373089911,20110710,20110718,7
R175890557,20110710,20110713,8
R57495252,20110710,20110717,8
R538564963,20110711,20110716,3
R553993314,20110712,20110714,8
R710640105,20110712,20110716,0
R971145277,20110712,20011231,0
R865672995,20110712,20110718,6
R446440969,20110712,20011231,0
R613540987,20110712,20110715,4
R260340643,20110712,20110716,7
R245589502,20110713,20110716,7
R950690596,20110713,20110717,3
R284997702,20110713,20110718,8
R180564543,20110713,20110716,7
R211116757,20110713,20110715,4
R599941305,20110713,20110717,4
R378831990,20110713,20110717,6
R681222567,20110713,20110717,9
R496911056,20110714,20110718,4
R33296426,20110714,20011231,0
R243882399,20110715,20011231,0
R902790189,20110715,20011231,0
R836923917,20110715,20011231,0
R975517842,20110715,20110718,3
R588235180,20110715,20011231,0
R559658621,20110716,20110718,3
R672483305,20110716,20011231,0
R517090563,20110717,20011231,0
R737157784,20110717,20011231,0
R681277286,20110717,20011231,0
